name,market,city,status,efficiency_score,total_funding
Answers Corporation, Information Technology ,Saint Louis,acquired,68.6,384410000.0
EnergyHub, Clean Technology ,Brooklyn,acquired,67.2,33052663.0
BlueArc, Web Hosting ,San Jose,acquired,66.9,221000000.0
Aperto Networks, Mobile ,Milpitas,acquired,66.1,160279779.0
MTM Laboratories, Biotechnology ,Tucson,acquired,66.1,81574940.0
Composite Software, Web CMS ,San Mateo,acquired,65.9,14650003.0
StumbleUpon, Curated Web ,New York,acquired,65.5,18500000.0
OpTier, Analytics ,New York,acquired,65.4,103100000.0
PlayFirst, Games ,San Francisco,acquired,65.1,37720000.0
KAYAK, Travel ,Stamford,acquired,64.7,235024070.0
Webs, Curated Web ,Silver Spring,acquired,64.6,12000000.0
Aggregate Knowledge, Advertising ,San Mateo,acquired,64.5,74311925.0
Travora Networks, Travel ,New York,acquired,64.2,30500000.0
Anystream, Software ,Dulles,acquired,63.9,59000000.0
Solera Networks, Network Security ,South Jordan,acquired,63.9,51700000.0
Aviary, Creative Industries ,New York,acquired,63.8,19044025.0
EdgeCast Networks, Content ,Santa Monica,acquired,63.8,74000000.0
Zappos, Curated Web ,Las Vegas,acquired,63.7,62750000.0
ArcSight, Security ,Palo Alto,acquired,63.5,26914000.0
MapMyFitness, Android ,Denver,acquired,63.5,23650000.0
Scout Analytics, Software ,Issaquah,acquired,63.4,2991652.0
Where, E-Commerce ,Boston,acquired,63.3,33358207.0
Clickable, Search ,New York,acquired,63.2,32500000.0
Peer39, Advertising ,New York,acquired,63.2,29915001.0
Redux, Games ,Berkeley,acquired,63.2,8110454.0
Grab Media, Advertising ,Dulles,acquired,63.1,24500000.0
Imagine Communications, Software ,San Diego,acquired,62.9,34700000.0
SiBEAM, Mobile ,Sunnyvale,acquired,62.9,113750000.0
The Huffington Post, Publishing ,New York,acquired,62.9,37000000.0
Azuki Systems, Video Streaming ,Acton,acquired,62.8,28100000.0
Bizo, Advertising ,San Francisco,acquired,62.8,28500000.0
GeoIQ, Analytics ,Arlington,acquired,62.8,11500000.0
"Optimal, Inc.", SaaS ,San Francisco,acquired,62.8,7600000.0
Cloudant, Enterprise Software ,Boston,acquired,62.7,18250000.0
NileGuide, Career Planning ,San Francisco,acquired,62.7,13000000.0
SquareOne, Entertainment ,Pasadena,acquired,62.7,4240262.0
Vitrue, Enterprise Software ,Atlanta,acquired,62.6,33000000.0
Health Guru Media Inc., Health Care ,New York,acquired,62.4,9450000.0
LiveRamp, Data Integration ,San Francisco,acquired,62.3,16000000.0
OrangeSoda, Search ,American Fork,acquired,62.3,7500000.0
Plaxo, Curated Web ,Sunnyvale,acquired,62.3,28300000.0
Wiggio, Collaboration ,Boston,acquired,62.3,2939581.0
Convertro, Optimization ,Santa Monica,acquired,62.2,5000000.0
Graphicly, Digital Media ,Palo Alto,acquired,62.2,10024049.0
iLike, Social Media ,Seattle,acquired,62.2,16500000.0
Next New Networks, Video ,New York,acquired,62.2,27063781.0
Salesforce Buddy Media, Social Network Media ,New York,acquired,62.2,90000000.0
Bluefin Labs, Search ,Cambridge,acquired,62.1,20350000.0
Causes, Facebook Applications ,San Francisco,acquired,62.1,16350000.0
Small Bone Innovations, Health Care ,Morrisville,acquired,62.1,244000000.0
Trigence, Software ,Jersey City,acquired,62.1,15100000.0
Uptake, Travel ,Palo Alto,acquired,62.1,16781724.0
OneRiot, Brand Marketing ,Boulder,acquired,62.0,27300000.0
Stitcher, News ,San Francisco,acquired,62.0,18700000.0
Cotendo, Software ,Sunnyvale,acquired,61.9,36000000.0
Gnip, Enterprise Software ,Boulder,acquired,61.9,6640000.0
Standing Cloud, Enterprise Software ,Boulder,acquired,61.9,10500003.0
500Friends, E-Commerce ,San Francisco,acquired,61.8,12900000.0
Flock, Browser Extensions ,Menlo Park,acquired,61.8,28300000.0
Kiva Systems, Hardware ,North Reading,acquired,61.8,11600000.0
Mu Dynamics, Web Hosting ,Sunnyvale,acquired,61.8,24000000.0
New.net, Internet ,Pasadena,acquired,61.8,1100000.0
PayDivvy, Social Media ,Irvine,acquired,61.8,1310000.0
Posterous, Blogging Platforms ,San Francisco,acquired,61.8,10140000.0
Ad Infuse, Mobile ,San Francisco,acquired,61.7,17600000.0
Ask.com, Social Media ,Oakland,acquired,61.7,25000000.0
Cake Financial, Finance ,San Francisco,acquired,61.7,0.0
Cellfire, Coupons ,San Jose,acquired,61.7,26000000.0
